Mes,TIENDA,Segmento,Rango_edad,MABs
2025-12-01,Scalabrini,PLATINUM,35 - 39,28
2025-12-01,Scalabrini,PLATINUM,40 - 44,44
2025-12-01,Scalabrini,PLATINUM,45 - 49,31
2025-12-01,Scalabrini,PLATINUM,50 - 54,57
2025-12-01,Scalabrini,PLATINUM,55 - 59,42
2025-12-01,Scalabrini,PLATINUM,60 - 64,20
2025-12-01,Scalabrini,PLATINUM,65 - 69,23
2025-12-01,Scalabrini,PLATINUM,70 y más,18
2025-12-01,Scalabrini,PLATINUM,Sin clasificación,2
2025-12-01,Scalabrini,SELLER,18 - 24,2
2025-12-01,Scalabrini,SELLER,25 - 29,3
2025-12-01,Scalabrini,SELLER,35 - 39,9
2025-12-01,Scalabrini,SELLER,40 - 44,9
2025-12-01,Scalabrini,SELLER,45 - 49,4
2025-12-01,Scalabrini,SELLER,50 - 54,3
2025-12-01,Scalabrini,SELLER,55 - 59,5
2025-12-01,Scalabrini,SELLER,60 - 64,1
2025-12-01,Scalabrini,SELLER,65 - 69,1
2025-12-01,Scalabrini,SELLER,70 y más,3
2025-12-01,Scalabrini,SELLER,Sin clasificación,25
2025-12-01,Scalabrini,SILVER,18 - 24,3
2025-12-01,Scalabrini,SILVER,25 - 29,14
2025-12-01,Scalabrini,SILVER,30 - 34,13
2025-12-01,Scalabrini,SILVER,35 - 39,9
2025-12-01,Scalabrini,SILVER,40 - 44,13
2025-12-01,Scalabrini,SILVER,45 - 49,6
2025-12-01,Scalabrini,SILVER,50 - 54,10
2025-12-01,Scalabrini,SILVER,55 - 59,3
2025-12-01,Scalabrini,SILVER,60 - 64,6
2025-12-01,Scalabrini,SILVER,65 - 69,5
2025-12-01,Scalabrini,SILVER,70 y más,18
2025-12-01,Scalabrini,SILVER,Sin clasificación,26
2025-12-01,Vicente Lopez,BRONZE,18 - 24,10
2025-12-01,Vicente Lopez,BRONZE,25 - 29,6
2025-12-01,Vicente Lopez,BRONZE,30 - 34,7
2025-12-01,Vicente Lopez,BRONZE,35 - 39,5
2025-12-01,Vicente Lopez,BRONZE,40 - 44,6
2025-12-01,Vicente Lopez,BRONZE,45 - 49,11
2025-12-01,Vicente Lopez,BRONZE,50 - 54,5
2025-12-01,Vicente Lopez,BRONZE,55 - 59,5
2025-12-01,Vicente Lopez,BRONZE,60 - 64,8
2025-12-01,Vicente Lopez,BRONZE,65 - 69,1
2025-12-01,Vicente Lopez,BRONZE,70 y más,5
2025-12-01,Vicente Lopez,BRONZE,Sin clasificación,1
2025-12-01,Vicente Lopez,GOLD,18 - 24,8
2025-12-01,Vicente Lopez,GOLD,25 - 29,16
2025-12-01,Vicente Lopez,GOLD,30 - 34,17
2025-12-01,Vicente Lopez,GOLD,35 - 39,28
2025-12-01,Vicente Lopez,GOLD,40 - 44,28
2025-12-01,Vicente Lopez,GOLD,45 - 49,18
2025-12-01,Vicente Lopez,GOLD,50 - 54,10
2025-12-01,Vicente Lopez,GOLD,55 - 59,14
2025-12-01,Vicente Lopez,GOLD,60 - 64,6
2025-12-01,Vicente Lopez,GOLD,65 - 69,13
2025-12-01,Vicente Lopez,GOLD,70 y más,20
2025-12-01,Vicente Lopez,GOLD,Sin clasificación,3
2025-12-01,Vicente Lopez,MENOR_EDAD,13 - 17,1
2025-12-01,Vicente Lopez,PLATINUM,18 - 24,4
2025-12-01,Vicente Lopez,PLATINUM,25 - 29,11
2025-12-01,Vicente Lopez,PLATINUM,30 - 34,36
2025-12-01,Vicente Lopez,PLATINUM,35 - 39,42
2025-12-01,Vicente Lopez,PLATINUM,40 - 44,55
2025-12-01,Vicente Lopez,PLATINUM,45 - 49,42
2025-12-01,Vicente Lopez,PLATINUM,50 - 54,39
2025-12-01,Vicente Lopez,PLATINUM,55 - 59,29
2025-12-01,Vicente Lopez,PLATINUM,60 - 64,32
2025-12-01,Vicente Lopez,PLATINUM,65 - 69,14
2025-12-01,Vicente Lopez,PLATINUM,70 y más,17
2025-12-01,Vicente Lopez,SELLER,25 - 29,1
2025-12-01,Vicente Lopez,SELLER,30 - 34,5
2025-12-01,Vicente Lopez,SELLER,35 - 39,5
2025-12-01,Vicente Lopez,SELLER,40 - 44,6
2025-12-01,Vicente Lopez,SELLER,45 - 49,6
2025-12-01,Vicente Lopez,SELLER,50 - 54,4
2025-12-01,Vicente Lopez,SELLER,55 - 59,4
2025-12-01,Vicente Lopez,SELLER,60 - 64,2
2025-12-01,Vicente Lopez,SELLER,70 y más,1
2025-12-01,Vicente Lopez,SELLER,Sin clasificación,24
2025-12-01,Vicente Lopez,SILVER,18 - 24,3
