,,,,886.551.363,217.974,712.407.345,175.157,585.757.150,144.018,759.901.168,186.835,2.944.617.026,723.984,,,,,,,,,,,,,,,,,,,,,,637.289.168,156.657,10.443,642.104.085,157.848,10.526,417.226.276,102.530,6.838,519.000.534,127.528,8.501,2.215.620.052,544.554,36.305
Dia,Mes,Fecha,Semana,Scala NMV,Scala NSI,Vilo NMV,Vilo NSI,VUrq NMV,VUrq NSI,Caballito NMV,Caballito NSI,Total NMV,Total NSI,,,Mes,,,,,,,,Mes,Fecha,Scala NMV,Vilo NMV,VUrq NMV,Caballito NMV,,Dia,Mes,Fecha,Semana,Scala NMV,Scala NSI,Scala Purchases,Vilo NMV,Vilo NSI,Vilo Purchases,VUrq NMV,VUrq NSI,VUrq Purchases,Caballito NMV,Caballito NSI,Caballito Purchases,Total NMV,Total NSI,Total Purchases
domingo,4,19-abr,17,2.452.852,621,1.971.042,499,1.620.634,411,2.102.445,533,8.146.973,2.064,,,,,,,,,,,4,19-abr,2%,2%,2%,2%,,domingo,4,19-abr,17,1.627.219,412,27,1.639.115,415,28,1.074.071,272,18,1.342.691,340,23,5.683.095,1.440,96
lunes,4,20-abr,17,4.347.744,1.101,3.493.722,885,2.872.616,728,3.726.637,944,14.440.720,3.658,,,,,,,,,,,4,20-abr,4%,4%,4%,4%,,lunes,4,20-abr,17,2.884.287,731,49,2.905.374,736,49,1.903.818,482,32,2.379.954,603,40,10.073.433,2.552,170
martes,4,21-abr,17,4.329.628,1.097,3.479.165,881,2.860.647,725,3.711.110,940,14.380.550,3.643,,,,,,,,,,,4,21-abr,4%,4%,4%,4%,,martes,4,21-abr,17,2.872.270,728,49,2.893.268,733,49,1.895.885,480,32,2.370.038,600,40,10.031.461,2.541,169
miércoles,4,22-abr,17,4.086.335,1.035,3.283.662,832,2.699.900,684,3.502.573,887,13.572.471,3.438,,,,,,,,,,,4,22-abr,4%,4%,4%,4%,,miércoles,4,22-abr,17,2.710.870,687,46,2.730.688,692,46,1.789.351,453,30,2.236.860,567,38,9.467.768,2.399,160
jueves,4,23-abr,17,3.175.773,805,2.551.960,647,2.098.279,532,2.722.091,690,10.548.103,2.672,,,,,,,,,,,4,23-abr,3%,3%,3%,3%,,jueves,4,23-abr,17,2.106.804,534,36,2.122.206,538,36,1.390.628,352,23,1.738.418,440,29,7.358.056,1.864,124
viernes,4,24-abr,17,4.254.267,1.078,3.418.607,866,2.810.855,712,3.646.515,924,14.130.244,3.580,,,,,,,,,,,4,24-abr,4%,4%,4%,4%,,viernes,4,24-abr,17,2.822.275,715,48,2.842.908,720,48,1.862.886,472,31,2.328.785,590,39,9.856.855,2.497,166
sábado,4,25-abr,17,3.142.187,796,2.524.971,640,2.076.088,526,2.693.303,682,10.436.549,2.644,,,,,,,,,,,4,25-abr,3%,3%,3%,3%,,sábado,4,25-abr,17,2.084.523,528,35,2.099.762,532,35,1.375.921,349,23,1.720.033,436,29,7.280.238,1.844,123
domingo,4,26-abr,18,2.526.438,640,2.030.173,514,1.669.253,423,2.165.518,549,8.391.382,2.126,,,,,,,,,,,4,26-abr,2%,2%,2%,2%,,domingo,4,26-abr,18,1.676.035,425,28,1.688.289,428,29,1.106.293,280,19,1.382.972,350,23,5.853.588,1.483,99
lunes,4,27-abr,18,4.478.176,1.134,3.598.534,912,2.958.795,750,3.838.436,972,14.873.941,3.768,,,,,,,,,,,4,27-abr,4%,4%,4%,4%,,lunes,4,27-abr,18,2.970.816,753,50,2.992.535,758,51,1.960.932,497,33,2.451.353,621,41,10.375.636,2.629,175
martes,4,28-abr,18,4.459.517,1.130,3.583.540,908,2.946.466,746,3.822.443,968,14.811.966,3.752,,,,,,,,,,,4,28-abr,4%,4%,4%,4%,,martes,4,28-abr,18,2.958.438,749,50,2.980.066,755,50,1.952.762,495,33,2.441.139,618,41,10.332.405,2.618,175
miércoles,4,29-abr,18,4.208.926,1.066,3.382.172,857,2.780.897,705,3.607.650,914,13.979.645,3.542,,,,,,,,,,,4,29-abr,4%,4%,4%,4%,,miércoles,4,29-abr,18,2.792.196,707,47,2.812.609,713,48,1.843.031,467,31,2.303.965,584,39,9.751.801,2.471,165
jueves,4,30-abr,18,2.754.221,698,2.213.213,561,1.819.753,461,2.360.761,598,9.147.948,2.318,,,,,,,,,,,4,30-abr,3%,3%,3%,3%,,jueves,4,30-abr,18,1.827.147,463,31,1.840.504,466,31,1.206.036,306,20,1.507.660,382,25,6.381.347,1.617,108
